,coma,puntos,parentesis,word_count,letras,charbyword,concre_media,cant_abstractas
2627,0,1,0,10,44,4.4,1.5830000000000002,8
2506,0,1,0,7,31,4.428571428571429,1.26,3
1966,0,1,0,4,14,3.5,1.8375000000000001,2
286,0,1,0,7,36,5.142857142857143,2.3628571428571425,3
4839,0,0,0,4,24,6.0,0.4925,1
7089,0,1,0,5,19,3.8,2.4259999999999997,2
2380,0,1,0,5,28,5.6,1.204,1
2560,2,1,0,15,63,4.2,1.5926666666666665,8
5631,0,1,0,9,26,2.888888888888889,2.018888888888889,2
949,0,0,0,7,33,4.714285714285714,2.1557142857142852,2
790,0,0,0,5,20,4.0,2.524,1
6906,0,0,0,6,21,3.5,1.861666666666667,4
2437,0,1,0,11,46,4.181818181818182,1.7336363636363636,7
1828,0,1,0,4,13,3.25,1.5275,1
3253,0,1,0,3,13,4.333333333333333,1.31,0
3401,1,1,0,9,52,5.777777777777778,1.9500000000000002,4
456,0,0,0,6,26,4.333333333333333,2.6599999999999997,2
4875,0,1,0,4,12,3.0,1.8375000000000001,2
6892,1,1,0,30,143,4.766666666666667,1.5859999999999999,17
897,0,1,0,9,36,4.0,1.9633333333333336,4
712,0,1,0,6,19,3.1666666666666665,2.1566666666666667,3
4614,0,0,0,7,20,2.857142857142857,2.5628571428571427,1
5467,0,1,0,27,144,5.333333333333333,1.5151851851851854,16
38,0,1,0,5,13,2.6,1.1780000000000002,1
4347,0,1,0,10,48,4.8,1.03,4
4952,0,1,0,5,18,3.6,2.384,2
4136,0,1,0,10,44,4.4,1.6130000000000002,5
285,1,1,0,10,35,3.5,1.1600000000000001,3
2417,0,1,0,8,31,3.875,2.3687500000000004,4
3323,0,1,0,8,26,3.25,3.08,2
2721,2,1,0,14,68,4.857142857142857,1.7764285714285712,7
4351,0,1,0,6,18,3.0,3.2883333333333336,1
4535,0,0,0,9,34,3.7777777777777777,2.2444444444444445,4
6237,0,0,0,10,45,4.5,1.325,6
4441,2,1,0,11,44,4.0,1.4127272727272726,4
346,0,1,0,8,42,5.25,1.2875,2
5124,0,1,0,9,51,5.666666666666667,1.7744444444444445,3
2904,0,1,0,7,20,2.857142857142857,1.9028571428571432,2
1488,0,1,0,6,22,3.6666666666666665,2.515,2
6970,0,1,0,8,30,3.75,2.1862500000000002,3
3557,0,1,0,7,33,4.714285714285714,1.862857142857143,2
345,0,1,0,10,46,4.6,2.219,2
4286,0,1,0,8,28,3.5,2.29375,5
4159,1,1,0,24,141,5.875,1.4341666666666668,10
3890,0,0,0,3,12,4.0,3.6666666666666665,1
2069,0,0,0,8,39,4.875,1.5974999999999997,3
6255,0,1,0,7,31,4.428571428571429,2.6142857142857143,1
6986,0,1,0,9,61,6.777777777777778,1.4122222222222223,1
2688,0,1,0,6,27,4.5,2.7133333333333334,0
5474,0,1,0,4,12,3.0,2.625,0
1661,0,1,0,7,40,5.714285714285714,1.932857142857143,3
3554,0,1,0,11,46,4.181818181818182,1.3463636363636364,3
3260,0,1,0,9,27,3.0,2.8822222222222225,3
1702,0,1,0,19,69,3.6315789473684212,2.310526315789474,9
4576,0,1,0,8,40,5.0,1.2537500000000001,3
6620,0,0,0,9,27,3.0,2.238888888888889,4
6481,0,1,0,7,31,4.428571428571429,1.8571428571428572,5
4608,1,1,0,11,41,3.727272727272727,1.1036363636363637,3
3219,0,1,0,6,28,4.666666666666667,0.7949999999999999,3
4360,1,1,0,14,54,3.857142857142857,2.4892857142857143,2
440,0,1,0,4,13,3.25,1.0325,0
4106,0,1,0,8,36,4.5,2.01,4
6607,0,0,0,4,14,3.5,1.415,1
6501,0,1,0,7,22,3.142857142857143,1.7557142857142858,1
393,0,1,0,5,22,4.4,1.9620000000000002,1
5278,0,1,0,6,34,5.666666666666667,1.3316666666666668,1
4876,0,1,0,6,20,3.3333333333333335,1.7400000000000002,4
4254,0,0,0,16,61,3.8125,2.42,7
2287,0,1,0,4,11,2.75,1.915,2
1886,0,1,0,12,58,4.833333333333333,1.7008333333333334,3
4767,0,1,0,10,58,5.8,1.629,6
3052,0,2,0,19,85,4.473684210526316,2.1378947368421053,10
2261,1,1,0,19,60,3.1578947368421053,2.2978947368421054,9
4590,1,1,0,23,91,3.9565217391304346,1.7926086956521738,13
1437,0,1,0,7,29,4.142857142857143,2.0014285714285713,1
4676,0,1,0,5,17,3.4,2.3920000000000003,1
